Date,New Cases,New Deaths,Hospital Patients,ICU Patients,New Tests,New Vaccinations
2020-02-29,1,,,,,
2020-03-01,0,,,,,
2020-03-02,0,,,,,
2020-03-03,1,,,,,
2020-03-04,4,,,,,
2020-03-05,0,,,,,
2020-03-06,12,,,,,
2020-03-07,0,,18,,,
2020-03-08,1,,17,,,
2020-03-09,2,,18,,,
2020-03-10,13,,26,,,
2020-03-11,9,1,32,,,
2020-03-12,0,0,44,,,
2020-03-13,47,0,36,,,
2020-03-14,39,1,38,,,
2020-03-15,0,0,41,,,
2020-03-16,40,0,55,,,
2020-03-17,54,0,61,,,
2020-03-18,69,0,80,,,
2020-03-19,265,1,98,,946,
2020-03-20,126,0,133,,1469,
2020-03-21,102,0,151,,1564,
2020-03-22,121,1,177,,978,
2020-03-23,219,2,218,,2581,
2020-03-24,204,1,239,,1566,
2020-03-25,235,2,290,,1775,
2020-03-26,255,10,331,,3376,
2020-03-27,302,3,380,68,2941,
2020-03-28,294,14,442,80,2206,
2020-03-29,200,10,513,96,1616,
2020-03-30,295,8,571,107,1397,
2020-03-31,325,17,596,120,1928,
2020-04-01,212,14,656,128,2009,
2020-04-02,402,13,655,132,1975,
2020-04-03,424,22,704,137,1857,
2020-04-04,331,17,738,140,1849,
2020-04-05,390,21,702,139,2831,
2020-04-06,370,16,829,144,6117,
2020-04-07,345,36,828,143,1853,
2020-04-08,365,25,837,146,3728,
2020-04-09,500,28,838,151,5487,
2020-04-10,1515,24,825,155,6959,
2020-04-11,839,33,856,155,6990,
2020-04-12,727,14,853,148,5722,
2020-04-13,992,31,868,143,8427,
2020-04-14,832,41,868,149,4275,
2020-04-15,1068,38,881,140,3036,
2020-04-16,724,42,856,142,3644,
2020-04-17,709,44,852,137,4311,
2020-04-18,778,41,811,134,2253,
2020-04-19,493,39,816,133,2313,
2020-04-20,401,77,820,139,1626,
2020-04-21,388,43,774,133,3757,
2020-04-22,631,39,778,131,5363,
2020-04-23,936,25,742,123,4871,
2020-04-24,577,220,745,118,5580,
2020-04-25,377,49,736,123,5632,
2020-04-26,701,24,758,120,8598,
2020-04-27,386,15,771,117,5100,
2020-04-28,229,57,753,113,6306,
2020-04-29,376,31,760,103,8159,
2020-04-30,359,42,736,106,8218,
2020-05-01,221,33,740,99,7451,
2020-05-02,343,21,705,99,12076,
2020-05-03,330,17,684,93,9799,
2020-05-04,266,16,672,91,8617,
2020-05-05,211,20,680,90,7512,
2020-05-06,265,36,657,82,7815,
2020-05-07,137,28,614,76,5703,
2020-05-08,156,26,585,72,4973,
2020-05-09,219,17,539,72,7657,
2020-05-10,236,12,539,72,6517,
2020-05-11,139,9,555,69,5374,
2020-05-12,107,21,512,67,6138,
2020-05-13,159,9,486,62,4674,
